week,visitors,sales,revenue
2012-12-31,46.233333333333334,504.46666666666664,0.0
2013-01-07,86.4047619047619,456.01666666666665,0.0
2013-01-14,95.5,571.6428571428572,0.0
2013-01-21,86.30714285714285,474.23809523809524,0.0
2013-01-28,110.15833333333333,473.6714285714286,0.0
2013-02-04,110.99880952380953,500.60833333333335,0.0
2013-02-11,112.08928571428572,522.8571428571429,0.0
2013-02-18,123.95714285714286,521.7392857142858,0.0
2013-02-25,130.62738095238095,419.0988095238095,0.0
2013-03-04,155.4988095238095,407.42261904761904,0.0
2013-03-11,158.5,432.66666666666663,0.0
2013-03-18,178.55357142857142,375.76785714285717,0.0
2013-03-25,159.02142857142857,397.9107142857143,0.0
2013-04-01,181.94166666666666,268.04285714285714,0.0
2013-04-08,206.18809523809523,217.70357142857142,0.0
2013-04-15,206.43809523809523,219.43809523809523,0.0
2013-04-22,209.01785714285714,274.80357142857144,0.0
2013-04-29,219.01190476190476,190.52380952380952,0.0
2013-05-06,229.01785714285714,219.73214285714286,0.0
2013-05-13,229.56666666666666,228.73571428571427,0.0
2013-05-20,261.59285714285716,159.71547619047618,0.0
2013-05-27,235.55833333333334,267.35357142857146,0.0
2013-06-03,244.27619047619046,334.4357142857143,0.0
2013-06-10,218.625,449.2261904761905,0.0
2013-06-17,223.73214285714286,436.2797619047619,0.0
2013-06-24,223.39285714285714,432.20238095238096,0.0
2013-07-01,225.91309523809522,462.46190476190475,0.0
2013-07-08,212.45833333333331,523.375,0.0
2013-07-15,210.03333333333333,563.6666666666667,0.0
2013-07-22,211.83333333333331,539.9761904761905,0.0
2013-07-29,216.9047619047619,496.3571428571429,0.0
2013-08-05,200.13690476190476,581.1071428571429,0.0
2013-08-12,199.99285714285713,579.6666666666666,0.0
2013-08-19,205.32738095238096,564.3095238095239,0.0
2013-08-26,213.95238095238096,454.825,0.0
2013-09-02,217.39285714285714,369.6547619047619,0.0
2013-09-09,215.95833333333334,435.82738095238096,0.0
2013-09-16,200.0595238095238,475.33809523809526,0.0
2013-09-23,204.95,505.9904761904762,0.0
2013-09-30,196.02619047619046,493.51904761904757,0.0
2013-10-07,196.34285714285713,524.5190476190476,0.0
2013-10-14,182.09523809523807,513.5714285714286,0.0
2013-10-21,170.20714285714286,478.74285714285713,0.0
2013-10-28,157.86904761904762,444.1607142857143,0.0
2013-11-04,135.4047619047619,496.1285714285714,0.0
2013-11-11,120.0,466.0,0.0
2013-11-18,127.39285714285714,455.3571428571429,0.0
2013-11-25,133.875,442.875,0.0
2013-12-02,117.66071428571428,524.1071428571429,0.0
2013-12-09,114.78571428571428,528.2142857142857,0.0
2013-12-16,106.375,643.875,0.0
2013-12-23,86.86309523809524,523.0952380952381,0.0
2013-12-30,89.0,588.875,0.0
2014-01-06,85.6547619047619,567.3214285714286,0.0
2014-01-13,92.16071428571429,607.6964285714286,0.0
2014-01-20,99.07142857142857,636.8571428571429,0.0
2014-01-27,106.625,545.375,0.0
2014-02-03,118.91071428571428,483.4107142857143,0.0
2014-02-10,93.375,521.875,0.0
2014-02-17,111.875,518.125,0.0
2014-02-24,119.76785714285714,540.7857142857143,0.0
2014-03-03,134.25,446.375,0.0
2014-03-10,144.08928571428572,445.75,0.0
2014-03-17,164.60714285714286,404.05357142857144,0.0
2014-03-24,170.05357142857142,425.44642857142856,0.0
2014-03-31,184.10714285714286,318.35714285714283,0.0
2014-04-07,189.26785714285714,263.25,0.0
2014-04-14,187.0,368.25,0.0
2014-04-21,208.625,231.75,0.0
2014-04-28,229.75,197.25,0.0
2014-05-05,212.57142857142858,313.64285714285717,0.0
2014-05-12,202.125,337.5,0.0
2014-05-19,227.375,255.875,0.0
